X,Break_Sketch_straw,Break_Sketch_basic,Break_Sketch_improved,Break_Sketch_Optimization_1,Break_Sketch_Optimization_2
0,0.301822,0.00399757,0.455215,0.239401,0.239908
1,0.402182,0.00443055,0.530879,0.395167,0.398652
2,0.483155,0.00485117,0.579994,0.496221,0.497752
3,0.548034,0.00531599,0.619367,0.555049,0.555586
4,0.600072,0.00598759,0.664752,0.597593,0.597087
5,0.654588,0.00713332,0.722347,0.639567,0.639914
6,0.719133,0.00919298,0.793353,0.684343,0.685597
7,0.790658,0.0134306,0.873294,0.750708,0.75162
8,0.875102,0.0245534,0.947203,0.826782,0.826203
9,0.96686,0.0950937,0.987549,0.908766,0.906954
